price,bedrooms,bathrooms,toilets,furnished,serviced,shared,parking,category,type,sub_type,state,locality,pre_covid,list_year,list_month
200000.0,5,5,5.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Nairobi Central,1,2020,7
100000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,1,2020,7
120000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,1,2020,7
180000.0,2,2,2.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
270000.0,4,4,4.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Lavington,1,2020,7
230000.0,3,3,3.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,1,2020,7
180000.0,3,3,3.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
275000.0,4,4,4.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Kitisuru,1,2020,7
540000.0,6,6,6.0,0,0,0,0,For Rent,House,Missing,Nairobi,Westlands,1,2020,7
380000.0,4,4,4.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Nairobi Central,1,2020,7
350000.0,4,4,4.0,0,0,0,0,For Rent,House,Missing,Nairobi,Westlands,1,2020,7
230000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
400000.0,5,5,5.0,0,0,0,0,For Rent,House,Missing,Nairobi,Westlands,1,2020,7
450000.0,5,5,5.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Westlands,1,2020,7
95000.0,1,1,1.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Nairobi Central,1,2020,7
110000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
140000.0,2,2,2.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,1,2020,7
200000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,1,2020,7
90000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,1,2020,7
175000.0,3,3,3.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,1,2020,7
225000.0,4,4,4.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
110000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
250000.0,5,5,5.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Lavington,1,2020,7
250000.0,4,4,4.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Westlands,1,2020,7
200000.0,4,4,4.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
140000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,1,2020,7
300000.0,3,3,3.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,1,2020,7
400000.0,5,5,5.0,0,0,0,0,For Rent,House,Townhouse,Kiambu,Kabete,1,2020,7
250000.0,5,5,5.0,0,0,0,0,For Rent,House,Townhouse,Kiambu,Kabete,1,2020,7
80000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
180000.0,3,3,3.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,1,2020,7
330000.0,4,4,4.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Lavington,1,2020,7
300000.0,4,4,4.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Westlands,1,2020,7
85000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
450000.0,4,4,4.0,0,0,0,0,For Rent,House,Missing,Kiambu,Kabete,1,2020,7
250000.0,6,6,6.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Lavington,1,2020,7
300000.0,3,3,3.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Nairobi Central,1,2020,7
170000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
60500.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Nairobi Central,1,2020,7
280000.0,3,3,3.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Nairobi Central,1,2020,7
250000.0,2,2,2.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,1,2020,7
220000.0,4,6,0.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Kitisuru,1,2020,7
130000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
230000.0,3,3,3.0,0,0,0,0,For Rent,House,Missing,Nairobi,Lavington,1,2020,7
120000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,1,2020,7
130000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,1,2020,7
200000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Nairobi Central,1,2020,7
150000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,1,2020,7
75000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,1,2020,7
95000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
80000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,1,2020,7
180000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,1,2020,7
250000.0,4,4,4.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Lavington,1,2020,7
450000.0,4,4,4.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Nairobi Central,1,2020,7
400000.0,5,5,5.0,0,0,0,0,For Rent,House,Missing,Nairobi,Karen,1,2020,7
380000.0,4,6,0.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Lavington,1,2020,7
180000.0,4,4,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
120000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
110000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
400000.0,4,4,0.0,0,0,0,0,For Rent,House,Townhouse,Kiambu,Kabete,1,2020,7
130000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Nairobi Central,1,2020,7
90000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
120000.0,3,4,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,1,2020,7
200000.0,2,2,0.0,0,0,0,0,For Rent,House,Missing,Nairobi,Nairobi Central,1,2020,7
140000.0,3,3,0.0,0,0,0,0,For Rent,House,Missing,Nairobi,Kileleshwa,1,2020,7
380000.0,4,4,0.0,0,0,0,0,For Rent,House,Missing,Kiambu,Kabete,1,2020,7
310000.0,3,3,0.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Westlands,1,2020,7
130000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
350000.0,5,5,5.0,0,0,0,0,For Rent,House,Missing,Nairobi,Westlands,1,2020,7
350000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Westlands,1,2020,7
170000.0,3,3,3.0,0,0,0,0,For Rent,House,Missing,Nairobi,Kilimani,1,2020,7
220000.0,4,4,0.0,0,0,0,0,For Rent,House,Missing,Nairobi,Kilimani,1,2020,7
200000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Nairobi Central,1,2020,7
90000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
180000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
130000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,1,2020,7
300000.0,3,3,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Nairobi Central,1,2020,7
100000.0,3,1,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
110000.0,4,1,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,1,2020,7
500000.0,5,4,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,1,2020,7
80000.0,4,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,1,2020,7
120000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
100000.0,3,1,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,1,2020,7
14409.0,1,1,0.0,0,0,0,0,For Rent,Apartment,Mini Flat,Kajiado,Kitengela,1,2020,7
27000.0,3,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Kajiado,Kitengela,1,2020,7
400000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
150000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,1,2020,7
130000.0,3,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,1,2020,7
90000.0,2,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,1,2020,7
350000.0,3,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
130000.0,4,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,1,2020,7
250000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
350000.0,6,6,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
250000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Kitisuru,1,2020,7
600000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Westlands,1,2020,7
210000.0,3,3,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
80000.0,3,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Mugumo-Ini (Langata),1,2020,7
390000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
350000.0,4,3,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Westlands,1,2020,7
30000.0,3,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Karen,1,2020,7
250000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
270000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
200000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
300000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
250000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
320000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
250000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
120000.0,3,3,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,1,2020,7
150000.0,2,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,1,2020,7
260000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
120000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
240000.0,4,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
300000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
250000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Kileleshwa,1,2020,7
250000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Lavington,1,2020,7
300000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Lavington,1,2020,7
180000.0,3,3,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Kilimani,1,2020,7
150000.0,3,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,1,2020,7
320000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
180000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
270000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
80000.0,3,3,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
200000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
130000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
300000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
210000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,1,2020,7
300000.0,4,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
350000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
130000.0,3,3,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
100000.0,3,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,1,2020,7
280000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
300000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
350000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
300000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
350000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
200000.0,4,3,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,1,2020,7
120000.0,2,2,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
210000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
180000.0,4,3,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,1,2020,7
280000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
550000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
450000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
200000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,1,2020,7
300000.0,4,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
130000.0,4,3,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
200000.0,4,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
250000.0,5,5,0.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Karen,1,2020,7
250000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
450000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
280000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
180000.0,3,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Karen,1,2020,7
180000.0,2,1,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,1,2020,7
200000.0,2,2,0.0,0,0,0,0,For Rent,House,Detached Bungalow,Nairobi,Karen,1,2020,7
600000.0,5,6,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
250000.0,5,6,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
250000.0,5,5,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
300000.0,4,2,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
300000.0,5,4,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
250000.0,4,2,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
300000.0,4,2,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Karen,1,2020,7
80000.0,3,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
180000.0,4,5,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
85000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,1,2020,7
160000.0,1,1,0.0,0,0,0,0,For Rent,Apartment,Mini Flat,Nairobi,Kilimani,1,2020,7
150000.0,4,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
150000.0,4,3,0.0,0,0,0,0,For Rent,House,Missing,Nairobi,Westlands,1,2020,7
130000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
200000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
130000.0,2,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
180000.0,2,2,0.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Kilimani,1,2020,7
65000.0,2,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
110000.0,1,1,0.0,0,0,0,0,For Rent,Apartment,Mini Flat,Nairobi,Kilimani,1,2020,7
265000.0,4,4,0.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Kitisuru,1,2020,7
180000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,1,2020,7
105000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,1,2020,7
160000.0,3,3,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
120000.0,3,3,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kilimani,1,2020,7
90000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
110000.0,2,2,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,1,2020,7
70000.0,2,2,0.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,1,2020,7
65000.0,1,1,0.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,1,2020,7
